"","PADD","State","ABBREV","FIPS","AGREGION","Year","ppg"
"171","Midwest (PADD 2)","Tennessee","TN",47,"Atlantic",2016,2.143
"172","Midwest (PADD 2)","Tennessee","TN",47,"Atlantic",2017,2.405
"173","Gulf Coast (PADD 3)","Texas","TX",48,"Plains",2012,3.486
"174","Gulf Coast (PADD 3)","Texas","TX",48,"Plains",2015,2.26
"175","Gulf Coast (PADD 3)","Texas","TX",48,"Plains",2016,2.016
"176","Gulf Coast (PADD 3)","Texas","TX",48,"Plains",2017,2.294
"177","Rocky Mountain (PADD 4)","Utah","UT",49,"West",2012,3.552
"178","Rocky Mountain (PADD 4)","Utah","UT",49,"West",2015,2.481
"179","Rocky Mountain (PADD 4)","Utah","UT",49,"West",2016,2.212
"180","Rocky Mountain (PADD 4)","Utah","UT",49,"West",2017,2.498
"181","New England (PADD 1A)","Vermont","VT",50,"Atlantic",2012,3.785
"182","New England (PADD 1A)","Vermont","VT",50,"Atlantic",2015,2.507
"183","New England (PADD 1A)","Vermont","VT",50,"Atlantic",2016,2.255
"184","New England (PADD 1A)","Vermont","VT",50,"Atlantic",2017,2.532
"185","Lower Atlantic (PADD 1C)","Virginia","VA",51,"Atlantic",2012,3.618
"186","Lower Atlantic (PADD 1C)","Virginia","VA",51,"Atlantic",2015,2.42
"187","Lower Atlantic (PADD 1C)","Virginia","VA",51,"Atlantic",2016,2.206
"188","Lower Atlantic (PADD 1C)","Virginia","VA",51,"Atlantic",2017,2.455
"189","West Coast (PADD 5)","Washington","WA",53,"West",2012,3.883
"190","West Coast (PADD 5)","Washington","WA",53,"West",2015,2.754
"191","West Coast (PADD 5)","Washington","WA",53,"West",2016,2.531
"192","West Coast (PADD 5)","Washington","WA",53,"West",2017,2.911
"193","Lower Atlantic (PADD 1C)","West Virginia","WV",54,"Atlantic",2012,3.618
"194","Lower Atlantic (PADD 1C)","West Virginia","WV",54,"Atlantic",2015,2.42
"195","Lower Atlantic (PADD 1C)","West Virginia","WV",54,"Atlantic",2016,2.206
"196","Lower Atlantic (PADD 1C)","West Virginia","WV",54,"Atlantic",2017,2.455
"197","Midwest (PADD 2)","Wisconsin","WI",55,"Midwest",2012,3.605
"198","Midwest (PADD 2)","Wisconsin","WI",55,"Midwest",2015,2.411
"199","Midwest (PADD 2)","Wisconsin","WI",55,"Midwest",2016,2.143
"200","Midwest (PADD 2)","Wisconsin","WI",55,"Midwest",2017,2.405
"201","Rocky Mountain (PADD 4)","Wyoming","WY",56,"West",2012,3.552
"202","Rocky Mountain (PADD 4)","Wyoming","WY",56,"West",2015,2.481
"203","Rocky Mountain (PADD 4)","Wyoming","WY",56,"West",2016,2.212
"204","Rocky Mountain (PADD 4)","Wyoming","WY",56,"West",2017,2.498
